#CUST_ID,FIRST_NAME,LAST_NAME,ORG_NAME,DOB,SSN,CUST_TYPE_CD,SRC_TYPE
3001,HANNAH,BELL,,1988/10/09,SSN3334455,IND,SRC3
3002,ISAAC,MARTINEZ,,1976/03/21,AB8899001,BU,SRC3
3003,MAYA,BROOKS,,2001/06/18,STUDY44556,STU,SRC3
3004,CALEB,REYES,,1992/05/12,DL229933,IND,SRC3
3005,ELLA,FOSTER,,1984/11/27,ID11223344,BU,SRC3
3006,NOAH,PARKER,,2003/08/03,STUDENT007,STU,SRC3
3007,LINA,PRICE,,1990/02/14,TX776655,IND,SRC3
3008,FINN,HUGHES,,1979/07/30,PASSPORT99,BU,SRC3
3009,NINA,OWENS,,2005/09/26,STU224488,STU,SRC3
3010,ZANE,BRYANT,,1997/12/16,SSN6667788,IND,SRC3
3011,KATE,RUSSELL,,1983/01/31,DL33445566,BU,SRC3
3012,SEAN,HAYES,,2004/04/20,STUDENT778,STU,SRC3
3013,LEAH,FRANCIS,,1973/08/11,ID334455,IND,SRC3
3014,EVAN,JOHNSTON,,1981/09/07,CA556677,BU,SRC3
3015,AVERY,SANDERS,,1999/10/22,STU990011,STU,SRC3
1001,JOHN,DOE,,1985/04/12,123456789,IND,SRC1
1002,JANE,SMITH,,1990/07/28,987654321,IND,SRC1
1003,MICHAEL,BROWN,,1978/11/05,DL495673,BU,SRC1
1004,EMILY,DAVIS,,2002/03/19,ST20234988,STU,SRC1
1005,ROBERT,JOHNSON,,1969/12/30,AB1234567,BU,SRC1
1006,LINDA,WILSON,,1995/06/09,321549870,IND,SRC1
1007,DAVID,LEE,,1983/01/23,PA55229987,IND,SRC1
1008,SARAH,MARTIN,,2004/10/14,DL1112233,STU,SRC1
1009,KEVIN,CLARK,,1971/08/02,555667777,BU,SRC1
1010,OLIVIA,WALKER,,1998/05/06,TX908112,IND,SRC1
1011,NOAH,HALL,,2003/09/25,SSN9876543,STU,SRC1
1012,AVA,YOUNG,,1987/02/17,432109876,BU,SRC1
1013,LUCAS,KING,,1992/11/11,IDA8B9C7,IND,SRC1
1014,GRACE,SCOTT,,2001/12/03,DRIVER2244,STU,SRC1
1015,ETHAN,ADAMS,,1975/04/29,PASSPORTZZ,BU,SRC1
1016,MIA,EVANS,,1993/08/20,777889999,IND,SRC1
2001,ANNA,PETERSON,,1986/01/17,123456789,IND,SRC2
2002,MARK,TAYLOR,,1974/05/20,DL7654321,BU,SRC2
2003,LILY,JOHNSON,,2003/02/12,STUDENT334,STU,SRC2
2004,JAMES,MITCHELL,,1991/09/30,SSN9998877,IND,SRC2
2005,ZOEY,REED,,1980/07/05,XYZ1122334,BU,SRC2
2006,ALEX,MURPHY,,2002/04/22,AB1234567,STU,SRC2
2007,NORA,CLARK,,1989/11/08,ID44556677,IND,SRC2
2008,BRANDON,WRIGHT,,1977/12/14,CA889900,BU,SRC2
2009,CHLOE,SCOTT,,2005/10/03,STUDENT556,STU,SRC2
2010,OWEN,LEE,,1994/06/27,SSN1122344,IND,SRC2
2011,ELISE,YOUNG,,1982/08/19,PT998877,BU,SRC2
2012,HENRY,HALL,,2000/03/13,DL55443322,IND,SRC2
2013,SOPHIA,EVANS,,2004/12/01,STU332211,STU,SRC2
2014,LOGAN,ADAMS,,1972/03/09,PASS123998,BU,SRC2
2015,ISLA,CAMPBELL,,1996/11/26,SSN2213344,IND,SRC2
