CUST_ID,F_NAME,L_NAME,ORG_NAME,DOB,GOVT_ID,TYPE
2001,Anna,Peterson,Peterson Advisors,1986-01-17,123456789,Individual
2002,Mark,Taylor,Taylor Tech,1974-05-20,DL-765-4321,Corp
2003,Lily,Johnson,Johnson Learning,2003-02-12,student-334455,Student
2004,James,Mitchell,Mitchell Foods,1991-09-30,SSN 999-88-7777,Individual
2005,Zoey,Reed,Reed Holdings,1980-07-05,xyz-1122-334,Corp
2006,Alex,Murphy,Murphy Media,2002-04-22,AB 123 4567,Student
2007,Nora,Clark,Clark Architects,1989-11-08,ID 44556677,Individual
2008,Brandon,Wright,Wright Solutions,1977-12-14,CA-889900,Corp
2009,Chloe,Scott,Scott University,2005-10-03,student 556677,Student
2010,Owen,Lee,Lee Logistics,1994-06-27,SSN-112-23-4455,Individual
2011,Elise,Young,Young Enterprises,1982-08-19,PT-998877,Corp
2012,Henry,Hall,Hall Consulting,2000-03-13,DL 55443322,Individual
2013,Sophia,Evans,Evans Training,2004-12-01,stu-332211,Student
2014,Logan,Adams,Adams Finance,1972-03-09,pass-123-998,Corp
2015,Isla,Campbell,Campbell Works,1996-11-26,SSN 221-33-4455,Individual
